7-Zip 9.20 (x64 edition) | 9.20.00.0
AnyDesk | ad 7.0.15
Dynamic Application Loader Host Interface Service | 1.0.0.0
FLIR GenTL 2.3.0.77 | 2.3.0.77
FlyCapture 2.13 Release 61 | 2.13.61
Google Chrome | 142.0.7444.176
Google Update Helper | 1.3.33.23
GVP-Pro | 1.0.0
Intel(R) Chipset Device Software | 10.1.19199.8340
Intel(R) Chipset Device Software | 10.1.19199.8340
Intel(R) Icls | 1.0.0.0
Intel(R) Integrated Performance Primitives 6.1 Update 1 for Windows* on Intel(R) IA-32 architecture | 6.1.1.035
Intel(R) Management Engine Components | 2230.3.19.0
Intel(R) Management Engine Components | 1.0.0.0
Intel(R) Management Engine Driver | 1.0.0.0
Intel(R) ME WMI Provider | 1.0.0.0
Java 8 Update 181 (64-bit) | 8.0.1810.13
Java Auto Updater | 2.8.181.13
Microsoft DirectX SDK (June 2010) | 9.29.1962.0
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17 | 9.0.30729
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219 | 10.0.40219
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219 | 10.0.40219
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030 | 11.0.61030.0
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030 | 11.0.61030
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030 | 11.0.61030
Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.44.35211 | 14.44.35211.0
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.44.35211 | 14.44.35211
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35211 | 14.44.35211
Microsoft Visual Studio 2010 Tools for Office Runtime (x64) | 10.0.50908
Microsoft Visual Studio 2010 Tools for Office Runtime (x64) | 10.0.50903
MySQL Connector C++ 8.0 | 8.0.21
MySQL Connector J | 8.0.21
MySQL Connector Net 8.0.21 | 8.0.21
MySQL Connector/ODBC 8.0 | 8.0.21
MySQL Documents 8.0 | 8.0.21
MySQL Examples and Samples 8.0 | 8.0.21
MySQL Installer - Community | 1.4.34.0
MySQL Notifier 1.1.8 | 1.1.8
MySQL Router 8.0 | 8.0.21
MySQL Server 8.0 | 8.0.21
MySQL Shell 8.0.21 | 8.0.21
MySQL Workbench 8.0 CE | 8.0.21
Notepad++ (64-bit x64) | 7.5.7
Realtek Audio Driver | 6.0.9381.1
Realtek Ethernet Controller Driver | 10.50.511.2021
Spinnaker Binaries 2.3.0.77 | 2.3.0.77
Spinnaker Documentation 2.3.0.77 | 2.3.0.77
Spinnaker Drivers 2.3.0.77 | 2.3.0.77
Spinnaker GenICam 2.3.0.77 | 2.3.0.77
Spinnaker SDK 2.3.0.77 | 2.3.0.77
System.Data.SQLite v1.0.108.0 (ReleaseNativeOnly) | 1.0.108.0
VCRedist 2.3.0.77 | 2.3.0.77
